agent_role,agreement_rate,condition,deadline_rate,empirical_cvar_10,mandate_violation_rate,mean_own_utility,mean_rounds,n,opponent_style,reject_rate,target_given_agreement,target_met_rate,utility_sd
buyer,0.0,prompt_only,1.0,0.6899264705882353,0.0,0.7389558823529412,6,2,adversarial,0.0,0,0.0,0.04902941176470588
seller,0.0,prompt_only,1.0,0.3673529411764706,0.0,0.45749999999999996,6,3,adversarial,0.0,0,0.0,0.0730704302295607
buyer,0.0,prompt_only,1.0,0.7958823529411765,0.0,0.8119999999999999,6,3,balanced,0.0,0,0.0,0.011709970711812658
seller,0.0,prompt_only,1.0,0.4900735294117647,0.0,0.5024264705882353,6,2,balanced,0.0,0,0.0,0.012352941176470594
buyer,0.0,prompt_only,1.0,0.7396323529411765,0.0,0.7552573529411765,6,2,hardball,0.0,0,0.0,0.015625
seller,0.0,prompt_only,1.0,0.3173529411764706,0.0,0.35901960784313725,6,3,hardball,0.0,0,0.0,0.031180478223116162
buyer,0.0,pure_llm,1.0,0.721514705882353,0.0,0.7496470588235294,6,3,adversarial,0.0,0,0.0,0.030427279673470062
seller,0.0,pure_llm,1.0,0.4486029411764706,0.0,0.4818382352941176,6,2,adversarial,0.0,0,0.0,0.03323529411764703
buyer,0.0,pure_llm,1.0,0.816764705882353,0.0,0.8188235294117647,6,2,balanced,0.0,0,0.0,0.0020588235294117796
seller,0.0,pure_llm,1.0,0.43382352941176466,0.0,0.4491176470588235,6,3,balanced,0.0,0,0.0,0.010944443956541514
buyer,0.0,pure_llm,1.0,0.7563970588235295,0.0,0.7813480392156863,6,3,hardball,0.0,0,0.0,0.02573209597308411
seller,0.5,pure_llm,0.5,0.45485294117647057,0.0,0.568125,6,2,hardball,0.0,0.0,0.0,0.11327205882352942
buyer,1.0,rule_based,0.0,0.7813970588235294,0.0,0.7841421568627451,1.3333333333333333,3,adversarial,0.0,1.0,1.0,0.001941077438551321
seller,0.0,rule_based,1.0,0.48382352941176465,0.0,0.5213235294117646,6,2,adversarial,0.0,0,0.0,0.03750000000000003
buyer,1.0,rule_based,0.0,0.7708823529411765,0.0,0.8208823529411765,1,2,balanced,0.0,1.0,1.0,0.050000000000000044
seller,0.0,rule_based,1.0,0.4426470588235294,0.0,0.4617647058823529,6,3,balanced,0.0,0,0.0,0.01693838484624606
buyer,1.0,rule_based,0.0,0.7896323529411765,0.0,0.8083823529411766,1,3,hardball,0.0,1.0,1.0,0.013501543121683045
seller,0.5,rule_based,0.5,0.5005882352941177,0.0,0.5922058823529412,5.5,2,hardball,0.0,0.0,0.0,0.09161764705882353
